feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
circularityMax,ratio,>=,0.0,1.0,0.01,0.0,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,313,1173,5286,801,0.21063257065948857,0.28096947935368044,0.8183929400836043,0.24076923076923076,0.7393371187112109,0.5496812097186423,1114,6459,1486,6087
circularityMax,ratio,>=,0.0,1.0,0.01,0.01,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,315,1171,5288,799,0.211978465679677,0.28276481149012567,0.8187025855395572,0.2423076923076923,0.7398653109731942,0.5507336985148414,1114,6459,1486,6087
circularityMax,ratio,>=,0.0,1.0,0.01,0.02,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,315,1171,5288,799,0.211978465679677,0.28276481149012567,0.8187025855395572,0.2423076923076923,0.7398653109731942,0.5507336985148414,1114,6459,1486,6087
circularityMax,ratio,>=,0.0,1.0,0.01,0.03,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,315,1171,5288,799,0.211978465679677,0.28276481149012567,0.8187025855395572,0.2423076923076923,0.7398653109731942,0.5507336985148414,1114,6459,1486,6087
circularityMax,ratio,>=,0.0,1.0,0.01,0.04,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,314,1172,5287,800,0.21130551816958276,0.28186714542190305,0.8185477628115807,0.24153846153846154,0.7396012148422025,0.5502074541167419,1114,6459,1486,6087
circularityMax,ratio,>=,0.0,1.0,0.01,0.05,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,314,1172,5287,800,0.21130551816958276,0.28186714542190305,0.8185477628115807,0.24153846153846154,0.7396012148422025,0.5502074541167419,1114,6459,1486,6087
circularityMax,ratio,>=,0.0,1.0,0.01,0.06,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,317,1169,5290,797,0.2133243606998654,0.2845601436265709,0.8190122309955101,0.24384615384615385,0.7403935032351776,0.5517861873110406,1114,6459,1486,6087
circularityMax,ratio,>=,0.0,1.0,0.01,0.07,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,317,1169,5290,797,0.2133243606998654,0.2845601436265709,0.8190122309955101,0.24384615384615385,0.7403935032351776,0.5517861873110406,1114,6459,1486,6087
circularityMax,ratio,>=,0.0,1.0,0.01,0.08,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,318,1168,5291,796,0.21399730820995963,0.28545780969479356,0.8191670537234866,0.24461538461538465,0.7406575993661693,0.5523124317091401,1114,6459,1486,6087
circularityMax,ratio,>=,0.0,1.0,0.01,0.09,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,318,1168,5291,796,0.21399730820995963,0.28545780969479356,0.8191670537234866,0.24461538461538465,0.7406575993661693,0.5523124317091401,1114,6459,1486,6087
circularityMax,ratio,>=,0.0,1.0,0.01,0.1,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,318,1168,5291,796,0.21399730820995963,0.28545780969479356,0.8191670537234866,0.24461538461538465,0.7406575993661693,0.5523124317091401,1114,6459,1486,6087
circularityMax,ratio,>=,0.0,1.0,0.01,0.11,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,318,1168,5291,796,0.21399730820995963,0.28545780969479356,0.8191670537234866,0.24461538461538465,0.7406575993661693,0.5523124317091401,1114,6459,1486,6087
